CCD ,2020,48,,Task Specific - Other
Multimodal Audio-Visual Detection Dataset,2021,48,113283,Task Specific - Detection
D2-city,2019,46,,Task Specific - Detection
BLVD,2019,43,,All Inclusive
CCTSDB 2021,2021,43,5268,Task Specific - Traffic Sign
DDD20 ,2020,43,,Task Specific - Other
Gated2Depth,2019,43,17686,Sensor Data Specilized
STF,2019,41,35000,Bad Conditions
Talk2Car,2019,41,,Task Specific - Other
comma2k19 Dataset,2018,39,2000000,Task Specific - Lane Detection 
DAWN,2020,39,4500,Bad Conditions
"Drone-based RGB-Infrared Cross-Modality Vehicle
Detection via Uncertainty-Aware Learning",2022,39,,V2V/V2X
Traffic Control Gesture Recognition for Autonomous Vehicles,2020,37,839350,Task Specific - Other
SegmentMeIfYouCan ,2021,37,100,Task Specific - Anomaly
Raincouver ,2017,37,,Bad Conditions
4Seasons,2020,36,,Bad Conditions
PREVENTION ,2019,36,,Task Specific - Other
NuPlan,2021,35,,Task Specific - Other
ROAD,2021,34,,All Inclusive
CCSAD Dataset,2015,33,96000,Task Specific - Other
IDDA,2020,32,1006800,Task Specific - Segmentation
RANUS,2018,32,40000,Sensor Data Specilized
Apollo-DaoxiangLake Dataset,2020,32,,Task Specific - Other
V2X-Sim,2021,31,10000,V2V/V2X
LOKI,2021,31,,Task Specific - Other
openDD,2020,30,81372,V2V/V2X
Towards Large Scale Urban Traffic Reference Data: Smart Infrastructure in the Test Area Autonomous Driving Baden-Württemberg,2018,30,,V2V/V2X
SemanticUSL,2021,29,,Task Specific - Other
THE BOXY VEHICLES DATASET,2019,27,200000,Task Specific - Detection
DIPLECS Datasets,2010,24,,Task Specific - Other
Boreas,2023,24,7100,Task Specific - Other
 AMUSE ,2013,23,108393,All Inclusive
Brno Urban Dataset,2019,23,,All Inclusive
LiDAR Snowfall Simulation for Robust 3D Object Detection,2022,22,,Bad Conditions
"SODA10M
Object Detection Dataset for Autonomous Driving",2021,22,,Task Specific - Detection
CRUW Dataset ,2021,21,,Sensor Data Specilized
SHIFT,2022,20,,All Inclusive
SynWoodScape,2022,19,80000,Sensor Data Specilized
Rope3D,2022,19,50000,Task Specific - Detection
Multifog Kitti Dataset,2021,18,,Bad Conditions
Large-scale Localization Datasets in Crowded Indoor Spaces,2021,16,130000,Task Specific - Segmentation
exiD Dataset,2022,16,,V2V/V2X
A9-Dataset,2022,15,,V2V/V2X
TRoM Vision ,2017,15,,Task Specific - Segmentation
Small obstacles ,2020,15,2927,Task Specific - Segmentation
CODD ,2022,14,125,V2V/V2X
CrashD dataset,2022,14,,Task Specific - Other
Cirrus,2020,13,6285,Sensor Data Specilized
Gated2Gated,2022,13,47420,Task Specific - Anomaly
UNDD ,2019,13,7125,Bad Conditions
AATEOTE,2020,12,,Bad Conditions
"Mcity Data Collection 
Study",2019,12,17500,All Inclusive
 Sydney Campus Data Set,2020,12,,Task Specific - Other
CarlaScenes,2022,10,,Task Specific - Other
TJ4DRadSet,2022,10,40000,Sensor Data Specilized
The Autonomous Platforms Inertial Dataset,2022,10,,Task Specific - Other
OpenMPD,2020,8,,All Inclusive
LUMPI,2022,7,,V2V/V2X
DurLAR,2021,6,100000,Sensor Data Specilized
Reasonable Crowd - Dataset ,2021,6,,Task Specific - Other
PePScenes,2020,6,,Task Specific - Other
K-Lane:,2022,6,15382,Sensor Data Specilized
AUTOMATUM DATA,2021,6,,V2V/V2X
MIT-AVT ,2020,6,,All Inclusive
Daimler Pedestrian Segmentation Benchmark Dataset,2013,5,785,Task Specific - Pedestrian
CeyMo,2021,5,2887,Task Specific - Traffic Sign
MUAD,2022,5,10413,Task Specific - Anomaly
IPS300+,2021,4,12000000,V2V/V2X
MONA,2022,4,,Task Specific - Other
A Dataset for Provident Vehicle Detection at Night,2021,4,59736,Bad Conditions
DOLPHINS ,2022,3,292549,V2V/V2X
V2V4Real,2023,3,310000,V2V/V2X
"Two Video Data Sets for Tracking and Retrieval
of Out of Distribution Objects",2022,3,,Task Specific - Anomaly
SceNDD,2022,3,,Task Specific - Other
Amodal Cityscapes,2022,3,5000,Task Specific - Segmentation
RoadSaW,2022,3,720000,Task Specific - Other
GLARE,2022,3,2157,Task Specific - Traffic Sign
aiMotive Dataset,2022,2,26583,All Inclusive
K-Radar,2023,2,,Sensor Data Specilized
UrbanLaneGraph dataset,2023,2,,V2V/V2X
All-In-One Drive,2020,1,100000,All Inclusive
Robo3D,2023,1,,Task Specific - Other
WEDGE,2023,1,3360,Bad Conditions
I see you,2022,1,,V2V/V2X
DRIV100,2021,1,,Task Specific - Segmentation
WADS ,2023,0,,Bad Conditions
Zenseact Open Dataset,2023,0,100000,All Inclusive
ASAP Benchmark,2022,0,1200000,Task Specific - Detection
Road Genome,2023,0,466000,Task Specific - Other
CARLANE,2022,0,281000,Task Specific - Lane Detection 
V2X-SeqVehicle,2023,0,15000,V2V/V2X
"Towards Defensive Autonomous Driving:
Collecting and Probing Driving Demonstrations of Mixed Qualitie",2020,0,62855,Task Specific - Anomaly
SYDNEY URBAN OBJECTS DATASET,2013,,,Task Specific - Other
Stanford Aerial Pedestrian Dataset ,2016,,,Task Specific - Pedestrian
"San Francisco Landmark Dataset for Mobile Landmark Recognition
",2011,,1700000,Task Specific - Other
 GTSR/DB,2011,,50900,Task Specific - Traffic Sign
CamVid,2008,,1080000,Task Specific - Segmentation
Daimler Pedestrian Path Prediction Benchmark Dataset,2013,,16912,Task Specific - Pedestrian
Daimler Stereo Pedestrian Detection Benchmark Dataset,2011,,21760,Task Specific - Pedestrian
Tsinghua-Daimler Cyclist Detection Benchmark Dataset,2016,,,Task Specific - Pedestrian
HD1K,2023,,1000,Task Specific - Other
Ground Truth Stixel Dataset,2013,,,Task Specific - Other
Udacity Dataset ,2020,,15000,Task Specific - Detection
LISA ,2020,,,Task Specific - Traffic Sign
Brain4Cars - Dataset ,2016,,,Task Specific - Other
NEXET - A large and divers road dataset ,2017,,50000,Task Specific - Detection
TuSimple,2017,,9000,Task Specific - Lane Detection 
DDAD ,2020,,99600,Sensor Data Specilized
Road Anomaly Dataset ,2019,,60,Task Specific - Anomaly
MICC-SRI DATASET ,2019,,11913,Task Specific - Segmentation
"Nocturne
",2022,,,Task Specific - Other
VIENA2,2018,,2250000,Task Specific - Other
"WADS 
",2021,,,Bad Conditions
CODA,2022,,,Task Specific - Anomaly
NEOLIX,2020,,30000,Task Specific - Detection
SSCBench:,2023,,66928,Task Specific - Segmentation
MIT driveseg ,2020,,,Task Specific - Segmentation
nuImages,2020,,93000,Task Specific - Segmentation
WildDash 2,2022,,,
Vehicle Lane Merge Visual Benchmark,2020,,,Task Specific - Other
